"name","capital_city_name","capital_city_population","capital_city_area","longitude","latitude","mayor"
"Israel","Tel Aviv",460613,52.0,32.067,34.783,"Ron Huldai"
"Italy","Rome",2873104,1285.0,41.883,12.5,"Roberto Gualtieri"
"Ivory Coast","Yamoussoukro",454929,3500.0,6.81611,-5.27417,"Augustin Abdoulaye Thiam Houphouët"
"Jamaica","Kingston",701063,480.0,17.97139,-76.79306,"Delroy Williams"
"Japan","Tokyo",13929286,2194.07,35.68972,139.69222,"Yuriko Koike"
"Jordan","Amman",2600603,1680.0,31.94972,35.93278,"NULL"
"Kazakhstan","Nur-Sultan",1029556,810.2,51.167,71.433,"NULL"
"Kenya","Nairobi",3138369,696.0,-1.28639,36.81722,"Anne Kananu Mwenda"
"Kiribati","South Tarawa",63439,15.76,1.433,173.0,"NULL"
"Kuwait","Kuwait City",1171880,200.0,29.36972,47.97833,"NULL"
"Kyrgyzstan","Bishkek",843240,169.9,42.87472,74.61222,"Aibek Dzhunushaliev"
"Laos","Vientiane",287579,130.0,17.967,102.6,"NULL"
"Latvia","Riga",713016,324.0,56.94889,24.10639,"M?rti?¹ Sta?is"
"Lebanon","Beirut",1574387,19.8,33.88694,35.51306,"NULL"
"Lesotho","Maseru",267652,138.0,-29.31,27.48,"NULL"
"Liberia","Monrovia",1010970,194.25,6.31333,-10.80139,"Jefferson T. Koijee"
"Libya","Tripoli",1184045,1507.0,32.88722,13.19139,"Abdulrauf Beitelmal"
"Liechtenstein","Vaduz",5248,17.3,47.141,9.521,"Manfred Bischof"
"Lithuania","Vilnius",556723,401.0,54.683,25.283,"Remigijus ©ima¹ius"
"Luxembourg","Luxembourg",124528,51.46,49.61167,6.13194,"Lydie Polfer"
"Madagascar","Antananarivo",1613375,88.0,-18.933,47.517,"Naina Andriantsitohaina"
"Malawi","Lilongwe",902388,727.79,-13.983,33.783,"Juliana Kaduya"
"Malaysia","Kuala Lumpur",1381830,243.0,3.14778,101.69528,"Mahadi bin Che Ngah"
"Maldives","Malé",103693,1.95,4.17528,73.50889,"Dr. Mohamed Muiz"
"Mali","Bamako",1289626,245.0,12.63917,-8.00278,"Adama Sangaré"
"Malta","Valletta",6444,0.61,35.89833,14.5125,"Alfred Zammit"
"Marshall Islands","Majuro",25400,9.7,7.083,171.383,"Ladie Jack"
"Mauritania","Nouakchott",719167,1000.0,18.08581,-15.9785,"NULL"
"Mauritius","Port Louis",147251,46.7,-20.16444,57.50417,"Chris Lo?c Dick"
"Mexico","Mexico City",8918653,1485.0,19.433,-99.133,"Claudia Sheinbaum"
"Moldova","Chi?inãu",532513,123.0,47.02278,28.83528,"Ion Ceban"
"Monaco","Monaco",38350,2.02,43.7312444,7.4197444,"Georges Marsan"
"Mongolia","Ulaanbaatar",907802,4704.4,47.92028,106.91722,"Dolgorsürengiin Sumyaabazar"
"Montenegro","Podgorica",141854,108.0,42.4412861,19.2628917,"Ivan Vukoviæ"
"Morocco","Rabat",1789635,117.0,34.033,-6.833,"Asmaa Rhlalou"
"Mozambique","Maputo",1076689,347.69,-25.967,32.583,"Iolanda Cintura"
"Myanmar","Naypyidaw",925000,7054.0,19.7475,96.115,"Myo Aung"
"Namibia","Windhoek",252721,5133.0,-22.57,17.08361,"Job Amupanda"
"Nauru","Yaren",1100,1.5,-0.5477,166.9208667,"NULL"
"Nepal","Kathmandu",1003285,49.45,27.7172,85.324,"Hari Prabha Khadgi"
"Netherlands","Amsterdam",855965,219.32,52.367,4.9,"Femke Halsema"
"New Zealand","Wellington",215900,442.0,-41.28889,174.77722,"Andy Foster"
"Nicaragua","Managua",926883,267.17,12.13639,-86.25139,"Reyna Rueda"
"Niger","Niamey",794814,239.3,13.51167,2.12528,"Assane Seydou Sanda"
"Nigeria","Abuja",778567,713.0,9.067,7.483,"NULL"
"North Korea","Pyongyang",3144005,2000.0,39.01944,125.73806,"Cha Hui-rim"
"North Macedonia","Skopje",521000,337.8,42.0,21.433,"Danela Arsovska"
"Norway","Oslo",645701,480.75,59.91389,10.75222,"Marianne Borgen"
"Oman","Muscat",797000,273.9,23.58889,58.40833,"NULL"
"Pakistan","Islamabad",1014825,220.0,33.69306,73.06389,"Syed Zeeshan Ali Naqvi"
"Palau","Ngerulmud",271,"NULL",7.50056,134.62417,"NULL"
"Panama","Panama City",813097,275.0,8.983,-79.517,"José Luis Fábrega"
"Papua New Guinea","Port Moresby",299396,240.0,-9.47889,147.14944,"Powes Parkop"
"Paraguay","Asunción",520722,117.0,-25.3,-57.633,"Óscar Rodríguez"
"Peru","Lima",8852000,800.0,-12.05,-77.033,"Jorge Mu?oz"
"Philippines","Manila",1780148,42.88,14.6,120.98,"Isko Moreno"
"Poland","Warsaw",1711324,517.24,52.233,21.017,"Rafa³ Trzaskowski"
"Portugal","Lisbon",564657,100.05,38.7252668,-9.1500193,"Carlos Moedas"
"Qatar","Doha",1450000,132.0,25.28667,51.53333,"NULL"
"Republic of Ireland","Dublin",1173179,115.0,53.34972,-6.26028,"Alison Gilliland"
"Republic of the Congo","Brazzaville",1827000,263.9,-4.26778,15.29194,"Dieudonné Bantsimba"
"Romania","Bucharest",1942254,228.0,44.4325,26.10389,"Nicu?or Dan"
"Russia","Moscow",12506468,2511.0,55.75583,37.61722,"Sergey Sobyanin"
"Rwanda","Kigali",718414,730.0,-1.94389,30.05944,"Pudence Rubingisa"
"Saint Kitts and Nevis","Basseterre",13043,6.1,17.3,-62.733,"NULL"
"Saint Lucia","Castries",20000,79.0,14.017,-60.983,"Geraldine Lendor-Gabriel"
"Saint Vincent and the Grenadines","Kingstown",40020,"NULL",13.15778,-61.225,"NULL"
"Samoa","Apia",39813,123.81,-13.833,-171.75,"NULL"
"San Marino","San Marino",4071,7.09,43.9346,12.4473,"NULL"
"Saudi Arabia","Riyadh",7676654,1913.0,24.633,46.717,"Faisal bin Bandar Al Saud"
"Senegal","Dakar",1030594,83.0,14.69278,-17.44667,"Soham El Wardini"
"Serbia","Belgrade",1154589,359.9,44.817,20.467,"Goran Vesiæ"
"Seychelles","Victoria",29298,20.1,-4.617,55.45,"David André"
"Sierra Leone","Freetown",1070200,81.48,8.48444,-13.23444,"Yvonne Aki-Sawyerr"
"Singapore","Singapore",5453600,728.0,1.367,103.8,"NULL"
"Slovakia","Bratislava",424207,367.584,48.14389,17.10972,"Matú¹ Vallo"
"Slovenia","Ljubljana",280140,163.8,46.05556,14.50833,"Zoran Jankoviæ"
"Solomon Islands","Honiara",59288,22.0,-9.43194,159.95556,"Wilson Mamae"
"Somalia","Mogadishu",1097133,91.0,2.033,45.333,"Omar M. Finnish"
"South Africa","Bloemfontein",556000,236.17,-29.117,26.217,"NULL"
"South Korea","Seoul",9838892,605.21,37.56,126.99,"Oh Se-hoon"
"South Sudan","Juba",372410,52.0,4.85,31.6,"Stephen Wani Michael"
"Spain","Madrid",3266126,604.31,40.417,-3.717,"José Luis Martínez-Almeida"
"Sri Lanka","Sri Jayawardenepura Kotte",115826,17.0,6.917,79.917,"I M V Premalal"
"State of Palestine","Jerusalem",927000,125.126,31.783,35.217,"Moshe Lion"
"Sudan","Khartoum",1840661,22142.0,15.50056,32.56,"NULL"
